,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
9.99999993922529e-09,0.00931743,0.008431021,0.011199489,0.009983895,0.010235195,0.00898004,0.009266555,0.010254721,0.01016298,0.009815227,0.008635654,0.010559884,0.009772226,0.009389791,0.00883568
1.5059660185556822e-08,0.029021934,0.024752732,0.024367716,0.0258027,0.031832658,0.029749218,0.027547773,0.028516792,0.025557302,0.028087152,0.028376184,0.02565798,0.029326584,0.02831522,0.027214961
2.267933041366632e-08,0.04098806,0.038599897,0.04611787,0.039347,0.0486113,0.042113487,0.039745703,0.044847224,0.040072486,0.04120573,0.051372245,0.042193387,0.042015314,0.0479681,0.04759119
3.41543007209566e-08,0.044032805,0.034018833,0.036992133,0.05076061,0.0457127,0.039566506,0.04175143,0.039602645,0.042981602,0.040087327,0.039993294,0.043837707,0.036949057,0.043731406,0.045826044
5.1435204539984625e-08,0.025787361,0.025628535,0.029380731,0.030741844,0.030416474,0.026177665,0.024395328,0.03051075,0.03272905,0.02542988,0.029235173,0.025332846,0.030493818,0.025655447,0.030609658
7.74596529140581e-08,0.014427353,0.012451712,0.013451729,0.012632928,0.011401303,0.0148442155,0.0129493615,0.011415496,0.015323852,0.014325055,0.015114777,0.016033756,0.012490907,0.012882729,0.0128169535
1.1665163412999391e-07,0.0053761317,0.006519758,0.004979799,0.004666298,0.0059945546,0.0017871874,0.0062846513,0.005621104,0.007695601,0.0033590922,0.009203553,0.0029279054,0.004643447,0.01059666,0.0073785633
1.7567334964496695e-07,0.00081185444,0.002294873,0.00087301224,0.0015948598,0.0023545686,0.0004308586,0.00066158106,0.00095779734,0.0009605658,0.00028762955,0.0018431443,0.00085181394,0.001867137,0.00066874374,0.0003893363
2.6455802526470507e-07,0.00023877026,2.333336e-05,0.00013635594,6.477262e-05,4.3470398e-05,0.00026545554,0.00011481128,1.3887205e-05,1.7357384e-05,7.7875164e-05,1.6909828e-05,0.00015794428,1.7799124e-05,1.664003e-05,3.3465737e-06
3.9841549437369395e-07,1.8684692e-05,1.0003165e-06,1.1587939e-06,8.2543556e-05,2.1047349e-07,9.864262e-06,7.733072e-06,3.8128276e-06,2.949835e-07,6.3569925e-05,2.6471962e-06,2.8610939e-05,4.6738023e-06,4.3072278e-06,1.7093099e-06
6.000000212225132e-07,4.456117e-08,1.8405348e-07,5.019377e-08,1.3280372e-09,1.8998174e-08,1.13655085e-08,2.2731623e-09,6.8838193e-09,1.4007325e-09,1.2985173e-07,1.7072228e-08,8.606938e-08,4.29108e-09,3.4486107e-09,1.0648922e-08
