,0,1,2,3,4
9.99999993922529e-09,0.009631829,0.008915006,0.010293217,0.010809541,0.0072868164
1.5059660185556822e-08,0.026318457,0.026882088,0.02374682,0.034126975,0.026223097
2.267933041366632e-08,0.040763047,0.037560083,0.046269868,0.041344058,0.040228415
3.41543007209566e-08,0.03903994,0.04624417,0.041307524,0.049589835,0.04410953
5.1435204539984625e-08,0.0335492,0.03148911,0.031427566,0.026939595,0.028507186
7.74596529140581e-08,0.0149564035,0.014479704,0.010368963,0.013874809,0.014134386
1.1665163412999391e-07,0.0064605563,0.0043329718,0.0028693299,0.0026059852,0.0022509259
1.7567334964496695e-07,0.0009379927,0.0010261994,0.00042216334,0.0010245449,0.0007616073
2.6455802526470507e-07,1.6837077e-05,2.8600518e-05,4.0551957e-05,9.454491e-05,9.868002e-05
3.9841549437369395e-07,1.7669142e-06,8.953095e-06,0.00017709834,5.628407e-05,8.5020165e-06
6.000000212225132e-07,4.213279e-09,1.312072e-09,1.7586455e-09,1.6195563e-07,4.330282e-09
